,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
0,SEZHUK-230918-245388,2023-10-10 20:21:00,725.691
1,SEZHUK-230921-246290,2023-10-02 02:01:00,1351.941
2,SEZHUK-230922-246664,2023-10-25 19:19:00,199.636
3,SEZHUK-230922-246665,2023-10-26 20:44:00,84.077
4,SEZHUK-230922-246672,2023-11-03 20:26:00,63.93499998333333
5,SEZHUK-230926-247516,2023-10-02 17:40:00,319.072
6,SEZHUK-230926-247519,2023-10-02 14:05:00,60.088
7,SEZHUK-230927-247978,2023-10-04 00:27:00,1178.287
8,SEZHUK-230927-247990,2023-10-08 00:51:00,5684.556
9,SEZHUK-230928-248315,2023-10-02 14:39:00,371.7239999833333
10,SEZHUK-230929-248502,2023-10-03 16:22:00,580.1229999833333
11,SEZHUK-230929-248513,2023-10-05 10:39:00,627.743
12,SEZHUK-230929-248516,2023-10-02 23:44:00,375.09
13,SEZHUK-230929-248517,2023-10-03 21:27:00,211.566
14,SEZHUK-230929-248518,2023-10-04 23:04:00,335.03700000000003
15,SEZHUK-230929-248519,2023-10-05 21:10:00,164.77100000000002
16,SEZHUK-230929-248520,2023-10-07 01:47:00,538.821
17,SEZHUK-230929-248581,2023-10-04 07:41:00,1195.906
18,SEZHUK-230929-248652,2023-10-03 14:39:00,257.5059999833333
19,SEZHUK-230929-248733,2023-10-04 13:16:00,19.744000000000003
20,SEZHUK-230929-248736,2023-10-04 10:04:00,98.652
21,SEZHUK-230930-249022,2023-10-01 19:24:00,15.498333333333331
22,SEZHUK-230930-249028,2023-10-01 15:20:00,15.765333333333333
23,SEZHUK-230930-249060,2023-10-02 08:12:00,8.544333333333332
24,SEZHUK-230930-249069,2023-10-02 12:51:00,121.15133333333333
25,SEZHUK-231001-249109,2023-10-03 01:16:00,199.55533333333327
26,SEZHUK-231001-249115,2023-10-02 17:00:00,165.29733333333334
27,SEZHUK-231001-249121,2023-10-02 12:42:00,231.60533333333333
28,SEZHUK-231001-249123,2023-10-02 22:10:00,163.40833333333333
29,SEZHUK-231001-249157,2023-10-06 07:08:00,45.08533331666667
30,SEZHUK-231001-249159,2023-10-08 19:55:00,2364.1853333333333
31,SEZHUK-231001-249177,2023-10-04 10:49:00,157.96433333333334
32,SEZHUK-231001-249178,2023-10-04 11:27:00,36.98633333333333
33,SEZHUK-231001-249180,2023-10-05 10:53:00,4.060333333333333
34,SEZHUK-231001-249181,2023-10-06 07:10:00,1373.8603333333333
35,SEZHUK-231001-249183,2023-10-15 05:22:00,12962.788333333334
36,SEZHUK-231001-249186,2023-10-06 10:25:00,5.301333333333333
37,SEZHUK-231001-249187,2023-10-07 08:22:00,12.222333333333331
38,SEZHUK-231001-249216,2023-10-06 12:24:00,21.502333333333336
39,SEZHUK-231001-249231,2023-10-03 10:42:00,195.04233333333332
40,SEZHUK-231001-249234,2023-10-05 10:32:00,2898.6493333333333
41,SEZHUK-231002-249260,2023-10-03 15:40:00,106.666
42,SEZHUK-231002-249324,2023-10-02 20:07:00,168.036
43,SEZHUK-231002-249409,2023-10-12 04:05:00,1313.687
44,SEZHUK-231002-249463,2023-10-12 11:15:00,157.829
