,SHIPMENT_NUMBER,LAT,LON,RECORD_TIMESTAMP,PROJECT_ID,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,is_delayed,Distance_km,Step_Count,Ferry_Involved
0,SEZHUK-230918-245388,52.2770153,-8.2762147,2023-10-11 11:50:00+01:00,3244246f-e37c-4ba4-b9b3-61416a4449ae,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,MITCHELSTOWN,53.293393,-1.074008,52.276579,-8.258109,2023-10-09T00:00:00.000Z,2023-10-09T23:59:00.000Z,2023-10-10T11:25:00.000Z,2023-10-10 11:55:00+00:00,True,607.9028000000001,108,True
1,SEZHUK-230919-245487,53.2606428836529,-1.3185753824452,2023-11-30 15:59:00+00:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-30T09:30:00.000Z,2023-11-30T10:00:00.000Z,2023-11-30T15:30:00.000Z,2023-11-30 16:00:00+00:00,False,71.76639999999999,25,False
2,SEZHUK-230919-245488,53.259833763123694,-1.31991711026312,2023-10-12 13:08:00+01:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-12T09:30:00.000Z,2023-10-12T10:00:00.000Z,2023-10-12T15:30:00.000Z,2023-10-12 16:00:00+00:00,False,71.76639999999999,25,False
3,SEZHUK-230919-245489,52.9079322275994,-1.46232800164991,2023-11-09 17:51:00+00:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-09T11:00:00.000Z,2023-11-09T13:00:00.000Z,2023-11-09T17:00:00.000Z,2023-11-09 19:00:00+00:00,False,71.76639999999999,25,False
4,SEZHUK-230919-245490,53.260650120219694,-1.31811690559619,2023-11-02 16:29:00+00:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-02T11:00:00.000Z,2023-11-02T13:00:00.000Z,2023-11-02T17:00:00.000Z,2023-11-02 19:00:00+00:00,False,71.76639999999999,25,False
5,SEZHUK-230919-245491,53.2606211182582,-1.3180874303055,2023-10-26 15:26:00+01:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-26T11:00:00.000Z,2023-10-26T13:00:00.000Z,2023-10-26T17:00:00.000Z,2023-10-26 19:00:00+00:00,False,71.76639999999999,25,False
6,SEZHUK-230919-245493,52.951389782436706,-0.796576333133823,2023-11-16 13:13:00+00:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-16T11:00:00.000Z,2023-11-16T13:00:00.000Z,2023-11-16T17:00:00.000Z,2023-11-16 19:00:00+00:00,False,71.76639999999999,25,False
7,SEZHUK-230919-245494,53.2610293,-1.3184459,2023-10-05 12:50:00+01:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-05T09:30:00.000Z,2023-10-05T10:00:00.000Z,2023-10-05T15:30:00.000Z,2023-10-05 16:00:00+00:00,False,71.76639999999999,25,False
8,SEZHUK-230919-245495,52.93044361162,-1.52450711996255,2023-11-23 17:51:00+00:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-11-23T11:00:00.000Z,2023-11-23T13:00:00.000Z,2023-11-23T17:00:00.000Z,2023-11-23 19:00:00+00:00,False,71.76639999999999,25,False
9,SEZHUK-230919-245496,53.2610462,-1.3185023,2023-10-19 15:02:00+01:00,98d76108-ba01-441a-8425-641afdb920fb,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,53.700876,-1.417148,53.258602,-1.320728,2023-10-19T11:00:00.000Z,2023-10-19T13:00:00.000Z,2023-10-19T17:00:00.000Z,2023-10-19 19:00:00+00:00,False,71.76639999999999,25,False
